#OTU ID,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Parabacteroides,Alistipes,Blautia,Akkermansia,Ruminococcus,Oscillibacter,Clostridium_XlVa,Gemmiger,Dialister,Clostridium_IV,Lachnospiracea_incertae_sedis,Clostridium_XVIII,Coprococcus,Phascolarctobacterium,Anaerostipes,Acinetobacter
Bacteroides,1.0,0.33333333333333337,1.0,0.4444444444444444,1.0,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.11111111111111116,0.1111111111111111,0.11111111111111116,1.0,0.11111111111111116,0.4444444444444444,0.0,1.0,0.0
Faecalibacterium,0.4444444444444444,1.0,0.33333333333333337,0.0,0.33333333333333337,0.1111111111111111,0.1111111111111111,0.11111111111111116,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.0,1.0,0.2222222222222222,0.4444444444444444,0.33333333333333337,1.0,0.2222222222222222,0.33333333333333337,1.0
Prevotella,1.0,0.33333333333333337,1.0,0.33333333333333337,1.0,0.2222222222222222,0.3333333333333333,0.11111111111111116,0.33333333333333337,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.4444444444444444,0.3333333333333333,1.0,0.2222222222222222,0.4444444444444444,0.33333333333333337,1.0,0.0
Roseburia,0.3333333333333333,0.0,0.4444444444444444,1.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.0
Parabacteroides,1.0,0.4444444444444444,1.0,0.4444444444444444,1.0,0.2222222222222222,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,1.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.0,0.0
Alistipes,0.0,0.3333333333333333,0.2222222222222222,0.11111111111111116,0.0,1.0,0.4444444444444444,0.0,0.33333333333333337,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0
Blautia,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444,1.0,0.33333333333333337,0.33333333333333337,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
Akkermansia,0.11111111111111116,0.2222222222222222,0.11111111111111116,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0
Ruminococcus,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.0,0.0,0.3333333333333333,0.33333333333333337,0.2222222222222222,1.0,0.11111111111111116,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.11111111111111116,0.11111111111111116,0.0
Oscillibacter,0.11111111111111116,0.33333333333333337,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.11111111111111116,1.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.1111111111111111,0.0
Clostridium_XlVa,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111,0.33333333333333337,0.2222222222222222,0.33333333333333337,0.0,0.2222222222222222,0.2222222222222222,1.0,0.4444444444444444,0.3333333333333333,0.11111111111111116,0.4444444444444444,0.3333333333333333,0.11111111111111116,0.1111111111111111,0.0,0.0
Gemmiger,0.11111111111111116,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.33333333333333337,0.1111111111111111,0.2222222222222222,1.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0
Dialister,0.0,1.0,0.3333333333333333,0.1111111111111111,0.0,0.0,0.33333333333333337,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.2222222222222222,0.11111111111111116,1.0,0.0,0.2222222222222222,1.0
Clostridium_IV,0.11111111111111116,0.0,0.33333333333333337,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.11111111111111116,0.0,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.0
Lachnospiracea_incertae_sedis,1.0,0.4444444444444444,1.0,0.3333333333333333,1.0,0.2222222222222222,0.4444444444444444,0.0,0.4444444444444444,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,1.0,0.0,0.33333333333333337,0.1111111111111111,1.0,0.0
Clostridium_XVIII,0.33333333333333337,0.11111111111111116,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.11111111111111116,0.2222222222222222,0.0,1.0,0.33333333333333337,0.2222222222222222,0.1111111111111111,0.0
Coprococcus,0.11111111111111116,1.0,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4444444444444444,0.33333333333333337,0.0,1.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,1.0,0.2222222222222222,0.0,1.0
Phascolarctobacterium,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.11111111111111116,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,1.0,0.2222222222222222,0.0
Anaerostipes,1.0,0.33333333333333337,1.0,0.11111111111111116,1.0,0.0,0.0,0.1111111111111111,0.11111111111111116,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.11111111111111116,0.3333333333333333,1.0,0.1111111111111111,0.1111111111111111,0.0,1.0,0.0
Acinetobacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
