#OTU ID,Bacteroides,Faecalibacterium,Prevotella,Roseburia,Parabacteroides,Alistipes,Blautia,Akkermansia,Ruminococcus,Oscillibacter,Clostridium_XlVa,Gemmiger,Dialister,Clostridium_IV,Lachnospiracea_incertae_sedis,Clostridium_XVIII,Coprococcus,Phascolarctobacterium,Anaerostipes,Acinetobacter
Bacteroides,0.0,0.0,0.0,0.0,0.973508952113717,0.1633683837744663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913430714348467,0.0,0.0,0.1083011343043218,0.0,0.0
Faecalibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934166456412503
Prevotella,0.0,0.0,0.0,0.0,0.988987234910073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roseburia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parabacteroides,0.976527873601966,0.0,0.9909788172765972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9905039415199203,0.0
Alistipes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45633139563431757
Blautia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkermansia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminococcus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oscillibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium_XlVa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemmiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dialister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880554263960643
Clostridium_IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachnospiracea_incertae_sedis,0.9714391570346919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639745594595587,0.0
Clostridium_XVIII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878033883232369,0.0,0.0,0.0,0.0,0.296760689505035,0.0,0.0,0.0,0.0,0.0
Coprococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.382538182128088,0.4188654379770123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976678284310798
Phascolarctobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaerostipes,0.0,0.0,0.0,0.0,0.9897439733943862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840062498124245,0.0,0.0,0.0,0.0,0.0
Acinetobacter,0.0,0.9980921382302117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368714271552783,0.0,0.0,0.9769756759401748,0.44018428745387206,0.0,0.07389510486585985,0.9815416495825462,0.0,0.0,0.0
